# number of detected SNeII per unit of redshift interval 
#  z_sim 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
1.689240598e-02 1.272037831e+00 1.420245088e+00 1.610015155e+00
1.696577080e-02 1.283339698e+00 1.433497061e+00 1.624236022e+00
1.703914236e-02 1.294694575e+00 1.446819111e+00 1.638522503e+00
1.711252065e-02 1.306102504e+00 1.460211354e+00 1.652874639e+00
1.718590772e-02 1.317563843e+00 1.473674280e+00 1.667292870e+00
1.725930333e-02 1.329078601e+00 1.487207968e+00 1.681777198e+00
1.733270569e-02 1.340646538e+00 1.500812203e+00 1.696327310e+00
1.740611480e-02 1.352267695e+00 1.514487101e+00 1.710943249e+00
1.747953361e-02 1.363942583e+00 1.528233332e+00 1.725625645e+00
1.755296005e-02 1.375670917e+00 1.542050630e+00 1.740374132e+00
1.762639325e-02 1.387452599e+00 1.555938946e+00 1.755188576e+00
1.769983323e-02 1.399287673e+00 1.569898401e+00 1.770069021e+00
1.777328376e-02 1.411176793e+00 1.583929834e+00 1.785016281e+00
1.784674106e-02 1.423119389e+00 1.598032641e+00 1.800029628e+00
1.792020512e-02 1.435115502e+00 1.612206937e+00 1.815109103e+00
1.799367686e-02 1.447165322e+00 1.626453016e+00 1.830254935e+00
1.806715827e-02 1.459269222e+00 1.640771387e+00 1.845467584e+00
1.814064645e-02 1.471426767e+00 1.655161603e+00 1.860746492e+00
1.821414140e-02 1.483637998e+00 1.669623781e+00 1.876091700e+00
1.828764491e-02 1.495903255e+00 1.684158390e+00 1.891503624e+00
1.836115723e-02 1.508222624e+00 1.698765601e+00 1.906982365e+00
1.843467632e-02 1.520595807e+00 1.713445131e+00 1.922527537e+00
1.850820219e-02 1.533022847e+00 1.728197094e+00 1.938139182e+00
1.858173748e-02 1.545504232e+00 1.743022140e+00 1.953817904e+00
1.865528073e-02 1.558039760e+00 1.757920098e+00 1.969563441e+00
1.872883076e-02 1.570629273e+00 1.772890847e+00 1.985375582e+00
1.880238758e-02 1.583272813e+00 1.787934503e+00 2.001254369e+00
1.887595466e-02 1.595971019e+00 1.803051896e+00 2.017200596e+00
1.894952887e-02 1.608723399e+00 1.818242508e+00 2.033213634e+00
1.902310988e-02 1.621529934e+00 1.833506384e+00 2.049293449e+00
1.909669815e-02 1.634390749e+00 1.848843742e+00 2.065440189e+00
1.917029656e-02 1.647306389e+00 1.864255296e+00 2.081654526e+00
1.924390176e-02 1.660276314e+00 1.879740472e+00 2.097935772e+00
1.931751376e-02 1.673300565e+00 1.895299388e+00 2.114283969e+00
1.939113385e-02 1.686379412e+00 1.910932431e+00 2.130699445e+00
1.946476326e-02 1.699513121e+00 1.926639988e+00 2.147182524e+00
1.953839948e-02 1.712701287e+00 1.942421643e+00 2.163732687e+00
1.961204251e-02 1.725943950e+00 1.958277511e+00 2.180349975e+00
1.968569441e-02 1.739241526e+00 1.974208157e+00 2.197034899e+00
1.975935486e-02 1.752594001e+00 1.990213632e+00 2.213787430e+00
1.983302213e-02 1.766001104e+00 2.006293680e+00 2.230607219e+00
1.990669622e-02 1.779462877e+00 2.022448417e+00 2.247494308e+00
1.998037995e-02 1.792979882e+00 2.038678585e+00 2.264449390e+00
2.005407147e-02 1.806551821e+00 2.054983896e+00 2.281472084e+00
2.012776981e-02 1.820178561e+00 2.071364256e+00 2.298562211e+00
2.020147499e-02 1.833860143e+00 2.087819781e+00 2.315719812e+00
2.027519056e-02 1.847597276e+00 2.104351393e+00 2.332945767e+00
2.034891317e-02 1.861389380e+00 2.120958460e+00 2.350239336e+00
2.042264262e-02 1.875236457e+00 2.137641052e+00 2.367600513e+00
2.049637943e-02 1.889138648e+00 2.154399406e+00 2.385029463e+00
2.057012633e-02 1.903096514e+00 2.171234266e+00 2.402526880e+00
2.064388007e-02 1.917109484e+00 2.188145012e+00 2.420092038e+00
2.071764066e-02 1.931177601e+00 2.205131761e+00 2.437724979e+00
2.079140932e-02 1.945301143e+00 2.222194916e+00 2.455426042e+00
2.086518737e-02 1.959480405e+00 2.239334903e+00 2.473195587e+00
2.093897226e-02 1.973714945e+00 2.256551253e+00 2.491033049e+00
2.101276401e-02 1.988004805e+00 2.273844084e+00 2.508938469e+00
2.108656454e-02 2.002350403e+00 2.291213969e+00 2.526912362e+00
2.116037376e-02 2.016751767e+00 2.308661010e+00 2.544954752e+00
