# number of detected SNeII per unit of redshift interval 
#  z_random 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
1.367206442e-02 1.541697216e+02 1.687483927e+02 1.955756790e+02
1.374508845e-02 1.558375728e+02 1.706525019e+02 1.976812822e+02
1.381811912e-02 1.575147257e+02 1.725684439e+02 1.997984660e+02
1.389115772e-02 1.592012150e+02 1.744962711e+02 2.019272727e+02
1.396420559e-02 1.608970777e+02 1.764360383e+02 2.040677473e+02
1.403726011e-02 1.626022590e+02 1.783876956e+02 2.062198185e+02
1.411032129e-02 1.643167642e+02 1.803512614e+02 2.083834915e+02
1.418339151e-02 1.660406554e+02 1.823268196e+02 2.105588426e+02
1.425646989e-02 1.677739171e+02 1.843143651e+02 2.127458507e+02
1.432955493e-02 1.695165197e+02 1.863138766e+02 2.149444766e+02
1.440264663e-02 1.712684686e+02 1.883253726e+02 2.171547252e+02
1.447574849e-02 1.730298537e+02 1.903489690e+02 2.193767081e+02
1.454885741e-02 1.748006058e+02 1.923845990e+02 2.216103364e+02
1.462197299e-02 1.765807212e+02 1.944322710e+02 2.238556035e+02
1.469509595e-02 1.783702226e+02 1.964920234e+02 2.261125362e+02
1.476822876e-02 1.801691764e+02 1.985639453e+02 2.283812164e+02
1.484136824e-02 1.819775105e+02 2.006479663e+02 2.306615516e+02
1.491451439e-02 1.837952303e+02 2.027441051e+02 2.329535466e+02
1.498766901e-02 1.856223857e+02 2.048524317e+02 2.352572626e+02
1.506083240e-02 1.874589906e+02 2.069729750e+02 2.375727154e+02
1.513400247e-02 1.893049984e+02 2.091056933e+02 2.398998442e+02
1.520717923e-02 1.911604143e+02 2.112506055e+02 2.422386539e+02
1.528036552e-02 1.930253162e+02 2.134078138e+02 2.445892409e+02
1.535355952e-02 1.948996642e+02 2.155772849e+02 2.469515531e+02
1.542676022e-02 1.967834376e+02 2.177590072e+02 2.493255625e+02
1.549996762e-02 1.986766417e+02 2.199529993e+02 2.517112741e+02
1.557318557e-02 2.005793825e+02 2.221593965e+02 2.541088195e+02
1.564641022e-02 2.024915656e+02 2.243781021e+02 2.565180782e+02
1.571964157e-02 2.044131966e+02 2.266091349e+02 2.589390552e+02
1.579288064e-02 2.063443079e+02 2.288525449e+02 2.613717897e+02
1.586612926e-02 2.082849534e+02 2.311084072e+02 2.638163475e+02
1.593938458e-02 2.102350638e+02 2.333766540e+02 2.662726397e+02
1.601264661e-02 2.121946447e+02 2.356573039e+02 2.687406715e+02
1.608591738e-02 2.141637561e+02 2.379504394e+02 2.712205167e+02
1.615919669e-02 2.161423986e+02 2.402560736e+02 2.737121741e+02
1.623248271e-02 2.181305287e+02 2.425741683e+02 2.762155872e+02
1.630577545e-02 2.201281518e+02 2.449047422e+02 2.787307611e+02
1.637907792e-02 2.221353563e+02 2.472479106e+02 2.812578049e+02
1.645238795e-02 2.241520883e+02 2.496036235e+02 2.837966493e+02
1.652570470e-02 2.261783306e+02 2.519718730e+02 2.863472706e+02
