redshift, SNIa_rate
2.7553, 0.4905
2.7598, 0.4905
2.7642, 0.4904
2.7687, 0.4875
2.7732, 0.4875
2.7776, 0.4875
2.7821, 0.4875
2.7866, 0.4875
2.791, 0.4845
2.7955, 0.4845
2.8, 0.4845
2.8044, 0.4845
2.8089, 0.4845
2.8134, 0.4845
2.8178, 0.4844
2.8223, 0.4815
2.8268, 0.4815
2.8312, 0.4815
2.8357, 0.4815
2.8401, 0.4815
2.8446, 0.4814
2.8491, 0.4785
2.8536, 0.4785
2.858, 0.4785
2.8625, 0.4785
2.867, 0.4785
2.8714, 0.4785
2.8759, 0.4755
2.8803, 0.4755
2.8848, 0.4755
2.8893, 0.4755
2.8938, 0.4755
2.8982, 0.4755
2.9026, 0.4754
2.9072, 0.4725
2.9116, 0.4725
2.9161, 0.4725
2.9205, 0.4725
2.925, 0.4725
2.9295, 0.4724
2.934, 0.4695
2.9384, 0.4695
2.9428, 0.4695
2.9474, 0.4695
2.9518, 0.4695
2.9563, 0.4694
2.9607, 0.4665
2.9651, 0.4665
2.9697, 0.4665
2.9742, 0.4665
2.9786, 0.4665
2.983, 0.4664
2.9876, 0.4664
2.992, 0.4635
2.9965, 0.4635
3.001, 0.4635
3.0054, 0.4635
3.0099, 0.4635
3.0144, 0.4634
3.0188, 0.4605
3.0233, 0.4605
3.0278, 0.4605
3.0322, 0.4605
3.0367, 0.4605
3.0412, 0.4604
3.0456, 0.4575
3.0501, 0.4575
3.0546, 0.4575
3.059, 0.4575
3.0635, 0.4575
3.068, 0.4574
3.0724, 0.4545
3.0769, 0.4545
3.0814, 0.4545
3.0858, 0.4545
